STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,TMIN
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860601,28.9,10.6
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860602,28.9,9.4
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860603,27.8,10.6
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860604,27.8,11.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860605,25.6,10
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860606,26.7,10
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860607,26.7,12.8
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860608,22.8,8.9
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860609,28.9,8.9
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860610,28.9,14.4
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860611,21.7,11.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860612,23.9,11.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860613,26.1,11.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860614,26.1,11.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860615,26.1,11.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860616,25.6,7.8
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860617,26.1,7.8
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860618,31.7,13.3
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860619,34.4,17.8
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860620,32.8,16.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860621,28.3,16.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860622,27.8,13.9
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860623,26.7,13.9
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860624,24.4,8.9
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860625,34.4,15.6
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860626,30,15.6
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860627,28.9,15
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860628,27.2,13.9
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860629,26.1,9.4
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860630,26.1,12.8
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860701,22.8,11.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860702,26.7,11.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860703,31.7,12.2
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860704,28.9,16.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860705,27.2,16.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860706,27.2,14.4
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860707,29.4,12.2
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860708,29.4,15.6
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860709,28.9,15.6
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860710,27.2,16.7
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860711,26.1,15.6
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860712,26.1,10
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860713,24.4,13.3
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860714,28.3,13.3
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860715,30,13.3
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860716,28.3,18.9
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860717,30.6,20
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860718,30.6,17.8
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860719,28.3,15.6
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860720,25.6,11.7
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860721,29.4,13.3
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860722,31.1,13.3
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860723,32.2,18.9
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860724,31.7,17.8
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860725,30.6,11.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860726,30.6,13.3
