STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TAVG,TMAX,TMIN,TOBS
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860523,10.0,15.0,5.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860524,12.2,19.5,9.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860525,11.8,19.5,7.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860526,9.3,23.6,5.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860527,17.5,23.0,7.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860528,6.7,7.4,2.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860529,3.4,6.2,2.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860530,6.1,11.9,2.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860531,6.4,13.4,2.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860601,9.7,18.7,3.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860602,8.3,13.6,3.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860603,3.7,6.1,0.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860604,7.3,15.6,3.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860605,10.1,13.3,5.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860606,9.0,16.9,5.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860607,16.1,26.3,6.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860608,15.0,17.6,6.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860609,8.8,15.1,2.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860610,12.5,17.4,7.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860611,9.6,11.6,5.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860612,4.9,8.0,1.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860613,8.3,13.2,5.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860614,8.1,13.0,2.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860615,4.6,6.0,1.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860616,6.6,14.1,0.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860617,15.1,25.0,8.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860618,19.3,25.8,10.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860619,15.1,19.3,7.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860620,8.9,10.0,6.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860621,6.6,8.1,5.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860622,8.8,20.8,6.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860623,16.7,23.4,9.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860624,15.7,21.7,9.0,-9999
