STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730906,13.7,18,9
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730907,15.4,17,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730908,16.7,21,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730909,14.1,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730910,11.7,17,5
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730911,11.7,15,7
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730912,12.7,19,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730913,12.2,17,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730914,14.4,19,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730915,14.3,20,11
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730916,12.8,18,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730917,13.4,17,11
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730918,12.6,16,11
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730919,13.6,15,11
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730920,13.2,15,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730921,11.7,16,7
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730922,12.1,13,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730923,12.4,16,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730924,12.2,14,9
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730925,9.8,11,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730926,8.1,13,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730927,8.1,11,4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730928,11.1,15,9
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730929,9.6,13,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730930,8.6,15,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731001,8.6,14,1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731002,12.6,15,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731003,12.2,20,5
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731004,9.8,17,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731005,10.1,17,5
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731006,11.2,16,7
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731007,11.4,13,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731008,11.1,14,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731009,9.6,12,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731010,6.9,10,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731011,1.8,6,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731012,3.9,10,-3
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731013,3.8,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731014,3.4,8,-2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731015,5,7,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731016,2.9,9,-2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731017,3.5,-9999,-1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731018,2.1,5,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731019,2.9,8,-2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731020,1.6,7,-3
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731021,2.1,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731022,1.4,7,-3
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731023,2.4,5,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731024,4.3,8,-2
