"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13"
"119","Number of","31","29","31","30","31","30","31","31","30","31","30","31"
"120","Minimum","-24.0","-17.4","-8.7","-4.1","1.6","10.0","8.7","8.3","-0.2","-1.7","-13.4","-15.7"
"121","Date","9","23","15","7","10","9","9","17","26","31","18","31"
"122","Maximum","-0.8","-0.1","6.7","11.7","15.7","20.0","21.2","19.9","17.6","10.7","2.0","-1.2"
"123","Date","24","1","28","27","31","14","3","25","4","22","26","24"
"124","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"125","Mean","-10.9","-9.4","-1.2","4.3","7.4","15.1","14.6","14.8","10.5","3.2","-5.2","-6.8"
"126","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"127","Deviation","-3.7","-2.3","1.1","1.5","-2.0","1.0","-0.6","0.9","1.2","-1.5","-3.7","-1.1"
"128","%","-","-","-","-","-","-","-","-","-","-","-","-"
"129","4780 GARDERMOEN, TAM 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"131","1","-18.1","-7.4","-10.2","0.5","1.4","9.4","16.0","22.4","11.1","2.2","1.2","-7.0"
"132","2","-8.5","-12.8","-11.6","0.2","0.9","6.4","16.6","22.0","12.8","4.0","-0.5","-3.0"
"133","3","-9.5","-9.0","-13.5","4.0","4.3","7.9","15.7","20.6","11.0","2.0","-1.1","-9.5"
"134","4","-0.6","-14.0","-9.8","4.1","3.4","8.5","14.3","17.5","10.1","7.8","-6.6","-14.7"
"135","5","-1.8","-12.7","-2.9","2.4","7.6","9.1","15.2","17.8","13.4","5.1","-6.4","-13.7"
"136","6","-3.3","-3.4","1.7","7.2","9.1","11.1","13.3","19.2","14.6","1.9","-6.1","-16.6"
"137","7","-10.2","-3.6","-5.5","6.1","9.3","13.8","11.0","21.1","11.3","9.6","1.0","-15.4"
"138","8","-9.9","-3.6","-8.1","2.4","5.6","16.8","12.2","20.8","13.2","10.5","0.2","-9.2"
"139","9","-9.1","-4.1","-5.3","2.2","7.8","18.8","13.2","19.9","13.7","13.2","0.9","-12.8"
"140","10","-9.7","-5.3","-7.5","2.7","8.9","20.5","13.4","18.9","14.1","7.1","1.3","0.1"
"141","11","-9.5","-16.7","-11.7","5.3","7.5","18.8","13.4","17.3","14.4","7.1","0.3","0.1"
"142","12","-8.9","-15.8","-12.7","-1.7","10.0","17.9","14.9","18.6","15.8","2.1","2.9","-0.4"
"143","13","-11.7","-20.1","-11.3","0.8","8.6","18.4","16.5","18.9","11.4","6.4","0.2","-2.0"
"144","14","-6.0","-23.5","-11.1","2.3","8.0","18.2","15.9","17.7","8.6","4.1","-1.7","-3.1"
"145","15","-1.7","-16.8","-10.1","0.5","10.7","17.8","19.0","17.4","10.6","7.2","-1.0","-3.5"
"146","16","-0.8","-17.9","-8.8","1.3","8.2","19.8","17.1","18.9","11.2","11.5","1.9","-5.1"
"147","17","0.2","-14.0","-6.9","1.0","7.9","19.3","16.8","18.3","7.8","11.1","-2.3","-6.5"
