"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13"
"245","29","-10.2","-","-1.0","2.4","17.8","11.6","16.9","12.1","4.9","-2.6","0.5","-3.3"
"246","30","-13.0","-","0.9","2.8","13.2","14.9","14.9","11.0","9.6","0.5","0.1","-12.7"
"247","31","-9.0","-","-0.5","-","18.3","-","15.7","8.8","-","7.1","-","-11.5"
"248","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"249","Minimum","-18.8","-9.5","-18.0","-1.5","3.8","8.9","9.2","8.8","1.8","-2.6","-17.6","-12.7"
"250","Date","6","27","4","1","1","22","16","31","28","29","19","30"
"251","Maximum","3.3","2.5","2.6","8.0","18.3","19.1","22.1","16.9","13.8","13.3","8.6","4.1"
"252","Date","10","13","25","21","31","1","8","2","8","7","3","16"
"253","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"254","Mean","-5.0","-3.1","-4.4","2.6","9.9","12.7","15.4","13.4","9.0","4.8","-3.7","-2.3"
"255","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"256","Deviation","2.2","4.0","-2.1","-0.2","0.5","-1.4","0.2","-0.5","-0.3","0.1","-2.2","3.4"
"257","%","-","-","-","-","-","-","-","-","-","-","-","-"
"258","4780 GARDERMOEN, TAM 1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"260","1","-12.3","-8.0","-3.3","-0.7","8.5","9.4","16.6","15.5","12.5","3.6","2.3","3.3"
"261","2","-11.6","-7.1","-4.3","-2.3","12.1","10.7","14.9","17.0","12.9","5.8","2.9","5.7"
"262","3","-8.0","-7.2","-5.0","1.9","12.1","9.3","12.5","14.4","14.6","4.8","4.8","6.0"
"263","4","-11.2","-4.3","-1.5","0.5","12.4","10.6","13.2","12.5","8.5","5.8","-1.0","0.0"
"264","5","-5.5","-5.7","-1.2","0.3","11.4","14.8","15.8","12.4","10.8","12.2","4.4","2.9"
"265","6","-5.2","-8.0","-2.0","1.3","8.7","18.3","19.6","12.8","11.3","7.6","1.1","2.5"
"266","7","-7.2","-8.2","-2.8","1.9","10.1","14.5","17.7","17.0","11.3","8.1","2.5","1.2"
"267","8","-9.3","-9.1","-2.4","3.7","8.8","14.1","13.3","15.9","12.2","8.5","2.4","-3.5"
"268","9","-7.5","-10.0","-3.9","3.0","10.9","10.8","13.4","15.9","4.7","7.3","3.7","-5.4"
"269","10","-10.3","-3.7","-11.1","1.1","8.8","11.3","12.7","13.9","9.7","8.6","5.4","-2.1"
"270","11","-12.6","-2.2","-13.8","2.8","9.6","9.9","16.4","12.3","8.2","6.7","2.9","-1.6"
"271","12","-8.9","-3.2","-3.8","2.6","9.2","10.8","15.8","14.3","8.2","5.9","-0.4","0.7"
"272","13","-5.5","-0.2","-1.2","2.0","6.9","10.3","17.7","12.7","5.9","3.1","-0.3","3.5"
"273","14","-8.0","-0.4","-4.3","2.3","6.6","13.5","18.8","10.6","4.7","2.3","-3.2","2.4"
"274","15","-11.9","-3.2","-5.9","3.1","7.4","11.9","19.4","12.9","7.1","4.0","-6.7","-0.3"
"275","16","-10.3","-3.1","-3.6","3.4","8.7","15.1","18.5","14.9","9.7","6.3","-5.8","1.1"
"276","17","-12.8","-4.8","-0.9","3.4","11.0","13.0","19.8","12.2","12.2","5.9","-6.2","-0.4"
"277","18","-10.2","-7.0","-0.4","3.9","6.7","12.2","22.4","12.1","9.6","2.8","-2.8","-0.9"
"278","19","-9.8","-9.7","-0.6","4.7","5.4","12.0","21.7","13.2","7.4","4.0","-12.0","-1.9"
"279","20","-13.8","-5.4","-2.0","4.1","10.3","11.9","20.2","13.3","5.9","3.1","-4.8","-2.4"
"280","21","-8.2","-5.7","1.6","5.7","9.5","10.2","18.8","13.2","9.7","-0.4","-1.2","-0.8"
"281","22","-14.3","-5.8","4.8","5.7","10.6","10.5","19.0","12.1","6.5","-2.2","-0.4","-3.3"
"282","23","-5.5","-8.5","0.6","3.2","12.5","9.1","17.8","9.8","8.2","1.2","-0.4","-2.7"
"283","24","-1.7","-8.7","0.2","1.3","12.3","11.7","14.9","11.4","8.0","2.0","-1.5","-1.5"
"284","25","-3.8","-10.6","-1.0","5.2","9.9","14.0","17.0","12.0","6.2","1.6","-4.3","-7.1"
"285","26","-5.0","-5.4","0.3","5.3","6.1","15.6","12.8","12.0","7.2","5.9","-11.0","-5.4"
"286","27","-5.0","-3.6","0.9","4.0","8.1","17.6","15.4","11.9","4.2","5.0","-3.9","-1.3"
"287","28","-11.5","-3.9","0.3","2.9","11.1","20.5","14.7","13.8","2.5","4.4","3.3","-2.8"
"288","29","-13.9","-5.5","0.0","-0.2","8.8","19.8","13.0","12.9","0.6","4.1","0.4","-0.8"
"289","30","-11.5","-","0.6","4.9","8.7","20.9","18.0","11.7","1.9","6.0","1.2","2.4"
"290","31","-12.9","-","-0.3","-","9.1","-","18.2","12.9","-","2.5","-","2.7"
"291","Number of","31","29","31","30","31","30","31","31","30","31","30","31"
"292","Minimum","-14.3","-10.6","-13.8","-2.3","5.4","9.1","12.5","9.8","0.6","-2.2","-12.0","-7.1"
"293","Date","22","25","11","2","19","23","3","23","29","22","19","25"
"294","Maximum","-1.7","-0.2","4.8","5.7","12.5","20.9","22.4","17.0","14.6","12.2","5.4","6.0"
"295","Date","24","13","22","21","23","30","18","2","3","5","10","3"
"296","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"297","Mean","-9.2","-5.8","-2.1","2.7","9.4","13.1","16.8","13.2","8.1","4.7","-1.0","-0.3"
"298","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"299","Deviation","-2.0","1.3","0.2","-0.1","0.0","-1.0","1.6","-0.7","-1.2","0.0","0.5","5.4"
"300","%","-","-","-","-","-","-","-","-","-","-","-","-"
"301","4780 GARDERMOEN, TAM 1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"303","1","1.9","-1.3","-2.3","3.4","4.3","12.2","17.8","14.8","9.6","4.0","3.0","-11.2"
"304","2","4.0","-2.2","-2.0","1.0","7.7","11.1","20.0","16.6","11.3","12.6","0.6","-9.6"
"305","3","2.1","0.8","-0.3","0.3","5.9","10.5","19.8","18.1","12.3","9.6","-0.3","-1.4"
"306","4","-0.2","0.2","-2.2","-2.9","6.3","11.3","19.8","14.4","11.9","8.9","3.8","-0.5"
"307","5","8.0","3.0","1.6","3.0","8.1","12.1","19.7","10.7","14.8","8.0","4.1","-4.2"
"308","6","1.3","0.3","-5.2","-0.4","9.5","13.9","19.9","11.1","10.1","6.0","1.9","-2.9"
"309","7","-5.3","1.9","-4.5","1.7","8.4","18.5","20.3","13.9","13.1","5.8","-0.6","-6.7"
"310","8","-5.8","-2.8","-2.7","2.2","7.6","17.4","16.9","12.9","10.8","7.1","2.6","-11.4"
"311","9","-5.4","-8.9","-1.8","0.0","7.2","11.6","12.8","11.4","12.1","3.9","6.3","-20.3"
"312","10","-4.8","-9.0","-0.9","0.2","6.3","12.7","15.4","14.2","8.0","-1.7","-1.7","0.8"
"313","11","-5.7","-6.7","-1.3","-0.2","4.8","9.5","14.2","15.1","6.5","-2.3","-2.0","0.0"
"314","12","-6.8","-0.4","-0.7","1.6","6.4","13.0","15.4","14.2","6.3","-3.2","-5.3","-8.5"
"315","13","-4.4","-1.0","2.2","2.9","7.0","12.0","15.6","16.1","6.1","-3.3","-2.8","-5.1"
"316","14","-3.1","-6.1","-1.4","4.7","7.5","10.8","16.9","16.2","12.2","-1.5","-7.5","-3.4"
"317","15","-2.1","-4.1","-3.7","5.0","7.4","10.5","18.0","17.5","11.6","0.0","-10.7","-12.3"
"318","16","-1.8","-4.3","5.0","2.9","7.4","11.0","19.3","17.5","11.7","-2.4","-3.8","-6.6"
"319","17","-3.7","-2.0","2.2","4.6","9.5","13.1","16.1","15.6","8.7","-3.5","-9.6","-9.7"
"320","18","-7.9","-1.5","1.5","3.5","6.5","15.6","15.7","15.3","6.0","-1.5","-12.4","-9.2"
"321","19","-4.5","-2.0","0.1","2.6","5.0","17.1","16.0","13.3","6.9","-5.7","-1.6","-12.2"
"322","20","-4.9","2.4","3.2","2.1","10.5","17.7","15.7","8.6","6.7","-6.2","-0.9","-10.2"
"323","21","-3.6","3.9","3.3","3.3","11.3","20.5","15.9","9.5","7.2","-4.3","-5.6","-4.6"
"324","22","-0.4","-4.0","3.9","7.8","10.4","19.9","15.0","9.0","5.0","-4.2","2.8","-2.3"
"325","23","-2.1","-6.6","6.3","3.8","11.4","18.9","14.0","12.0","3.1","-8.7","-1.0","-3.6"
"326","24","-0.6","-7.5","2.2","4.3","10.9","18.6","16.0","11.5","5.2","-4.2","-5.4","-3.2"
"327","25","2.3","-6.8","2.3","3.4","8.6","19.0","16.4","9.7","5.5","6.6","-6.8","-7.5"
"328","26","1.8","-10.7","4.0","2.2","11.9","17.3","14.1","10.6","3.9","3.1","-10.3","-5.9"
"329","27","-0.3","-9.8","2.7","-1.1","11.0","13.7","18.2","12.9","4.5","-1.2","-6.2","-0.2"
"330","28","-4.8","-3.1","3.8","-0.8","14.9","16.2","20.4","12.2","3.8","5.7","-12.3","0.8"
"331","29","-2.7","-","4.3","1.6","16.2","17.5","17.9","13.1","4.5","0.6","-10.9","1.1"
"332","30","-2.2","-","4.0","4.4","15.4","18.3","18.1","11.6","5.0","0.1","-9.5","1.9"
"333","31","-1.0","-","4.3","-","13.3","-","17.2","11.4","-","-1.4","-","-0.6"
"334","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"335","Minimum","-7.9","-10.7","-5.2","-2.9","4.3","9.5","12.8","8.6","3.1","-8.7","-12.4","-20.3"
"336","Date","18","26","6","4","1","11","9","20","23","23","18","9"
"337","Maximum","8.0","3.9","6.3","7.8","16.2","20.5","20.4","18.1","14.8","12.6","6.3","1.9"
"338","Date","5","21","23","22","29","21","28","3","5","2","9","30"
"339","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"340","Mean","-2.0","-3.2","0.9","2.2","9.0","14.7","17.0","13.3","8.1","0.9","-3.4","-5.4"
"341","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"342","Deviation","5.2","3.9","3.2","-0.6","-0.4","0.6","1.8","-0.6","-1.2","-3.8","-1.9","0.3"
"343","%","-","-","-","-","-","-","-","-","-","-","-","-"
"344","4780 GARDERMOEN, TAM 1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"346","1","-5.4","-0.7","-5.8","3.6","9.7","11.2","14.5","13.9","16.0","6.1","2.6","-10.6"
"347","2","-2.2","-0.5","-3.7","1.6","10.2","8.3","13.6","12.6","13.7","6.7","-0.4","-2.3"
"348","3","-2.5","1.0","-1.0","3.6","9.6","12.0","12.7","13.0","10.8","7.5","-2.3","-0.4"
"349","4","-1.4","1.0","-1.7","4.0","0.0","11.4","10.6","13.1","11.7","4.5","-3.3","1.8"
"350","5","-1.4","0.1","-2.5","5.9","2.8","12.6","12.1","13.9","11.5","3.3","-3.2","-0.7"
"351","6","-0.4","-1.6","-0.6","7.2","6.1","9.3","13.8","14.0","9.3","3.5","-2.6","0.1"
"352","7","-1.4","-3.3","-2.2","8.7","7.7","8.0","13.3","13.9","10.7","4.3","-4.3","-1.2"
"353","8","-2.9","-4.7","-5.6","8.0","8.2","7.2","16.1","15.5","11.9","5.8","-3.3","-4.1"
"354","9","-2.7","-10.0","-5.7","3.8","9.8","7.2","17.5","15.1","12.1","5.6","0.3","0.9"
"355","10","-0.4","-4.7","-5.1","2.5","10.4","9.3","15.8","11.2","10.1","3.9","4.4","-1.8"
"356","11","-3.0","1.8","-3.7","-2.0","11.1","6.0","16.0","12.3","8.7","0.9","3.1","-5.2"
"357","12","-3.0","3.3","-5.4","-0.6","9.1","12.3","14.7","12.3","10.5","3.0","3.7","-5.1"
"358","13","-0.9","1.0","-3.6","1.3","10.8","17.6","13.8","11.5","8.6","3.8","3.5","-10.3"
"359","14","1.4","-1.1","-5.4","3.3","9.2","18.3","12.8","14.2","10.1","2.4","1.8","2.1"
"360","15","1.2","0.0","-1.4","6.2","11.5","15.9","12.1","12.7","12.0","2.3","6.1","-4.3"
"361","16","-1.3","0.0","-2.4","7.1","12.9","18.7","11.6","15.6","11.2","6.1","1.8","-6.1"
"362","17","-4.1","0.0","-0.8","6.8","14.8","20.3","12.2","14.7","12.9","6.0","0.4","-1.6"
"363","18","-1.7","-1.4","0.0","7.7","15.3","17.6","14.0","13.6","8.9","2.5","1.5","-3.6"
"364","19","-0.1","-5.7","0.4","5.3","15.3","15.0","15.2","12.8","8.3","1.2","0.0","-13.4"
"365","20","-3.1","-6.4","1.2","7.8","11.7","15.4","16.2","12.5","8.1","0.3","-1.9","-2.0"
"366","21","-7.6","-0.8","1.3","9.6","9.6","17.6","15.4","12.0","5.7","1.0","-7.9","2.8"
"367","22","-7.5","1.8","0.8","7.1","10.8","19.3","13.8","14.0","7.7","2.3","-11.1","4.2"
"368","23","-8.2","-2.5","-2.3","7.1","12.7","17.9","15.3","14.3","8.0","1.6","-7.0","1.4"
"369","24","0.2","-3.1","-2.6","4.5","13.3","16.4","12.3","14.0","8.0","0.5","-2.6","3.0"
"370","25","-6.6","-1.6","-0.8","5.9","11.7","16.0","12.8","13.3","8.5","2.4","0.1","1.2"
"371","26","-0.5","-2.6","1.1","5.2","11.9","9.2","13.9","15.7","7.0","3.8","0.4","-0.5"
"372","27","1.1","-3.3","1.7","8.8","7.9","9.7","10.0","13.5","7.0","-0.3","0.6","-7.7"
"373","28","0.4","-1.0","4.9","8.6","7.2","12.9","12.9","13.1","6.1","0.8","0.5","-6.3"
"374","29","1.1","-","2.8","9.3","4.8","13.8","13.0","12.5","7.3","1.9","-0.5","-7.5"
"375","30","-2.1","-","2.5","10.8","10.4","14.0","13.0","13.5","6.7","0.2","-7.7","-9.3"
"376","31","0.8","-","3.5","-","10.3","-","13.4","14.7","-","2.3","-","-3.2"
"377","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"378","Minimum","-8.2","-10.0","-5.8","-2.0","0.0","6.0","10.0","11.2","5.7","-0.3","-11.1","-13.4"
"379","Date","23","9","1","11","4","11","27","10","21","27","22","19"
"380","Maximum","1.4","3.3","4.9","10.8","15.3","20.3","17.5","15.7","16.0","7.5","6.1","4.2"
"381","Date","14","12","28","30","18","17","9","26","1","3","15","22"
"382","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"383","Mean","-2.1","-1.6","-1.4","5.6","9.9","13.3","13.7","13.5","9.6","3.1","-0.9","-2.9"
"384","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"385","Deviation","5.1","5.5","0.9","2.8","0.5","-0.8","-1.5","-0.4","0.3","-1.6","0.6","2.8"
"386","%","-","-","-","-","-","-","-","-","-","-","-","-"
"387","4780 GARDERMOEN, TAM 1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"389","1","-5.6","-2.4","-3.2","-3.6","4.5","5.0","17.9","16.3","15.8","10.9","7.8","1.4"
"390","2","1.3","-4.1","-3.4","-1.4","5.2","6.6","18.2","18.1","14.3","9.5","6.8","-0.2"
"391","3","2.1","-4.3","-0.4","-1.3","5.6","6.9","18.1","20.1","13.6","8.8","7.7","-2.0"
"392","4","-0.7","-4.9","-0.4","-3.9","6.4","8.2","15.4","21.6","11.8","7.8","3.3","-1.7"
"393","5","2.1","-7.2","0.6","-0.8","8.9","8.7","18.6","23.3","12.3","9.8","7.4","-1.8"
"394","6","-2.1","-10.6","-1.7","-0.7","11.5","8.4","18.6","23.6","8.6","8.9","1.0","-0.4"
"395","7","-7.5","-7.7","0.4","-1.7","12.3","14.9","18.8","24.0","7.1","8.7","-1.9","0.3"
"396","8","-10.0","-14.7","0.7","0.9","11.7","16.4","18.8","23.6","7.8","6.4","-3.3","-1.2"
"397","9","-5.1","-11.9","-0.7","-0.3","14.8","19.6","20.3","23.7","13.6","3.5","-2.8","0.0"
"398","10","-3.8","-11.5","-1.7","-0.1","11.4","17.2","19.9","23.8","11.0","0.3","-2.5","-6.9"
"399","11","-7.5","-10.0","-0.1","-2.0","9.2","19.1","17.2","23.8","9.0","1.1","-0.8","-1.4"
"400","12","-5.5","-6.7","-4.3","-1.1","8.7","18.2","17.9","17.3","11.7","0.8","-0.3","0.6"
"401","13","1.4","-9.8","-3.7","2.2","7.4","12.4","17.0","16.6","8.1","0.5","1.8","-7.2"
"402","14","3.3","-13.5","-4.0","1.5","9.0","11.7","16.2","18.0","8.9","3.0","0.7","-4.8"
"403","15","3.0","-18.0","-3.7","2.4","11.4","11.6","15.2","14.0","9.2","5.0","2.4","2.5"
"404","16","4.7","-18.8","-0.6","4.1","12.7","8.6","14.9","11.7","10.5","6.8","1.1","0.9"
"405","17","-3.8","-8.4","-3.5","2.4","11.4","9.5","16.5","12.2","13.2","5.2","-0.1","-10.0"
"406","18","-2.3","-5.1","-4.7","2.7","12.7","11.6","15.6","13.3","11.2","1.9","-1.9","-11.4"
"407","19","-2.9","-6.1","-0.6","3.0","15.0","13.8","16.3","14.4","9.3","0.7","-3.5","-13.0"
"408","20","-3.4","-7.8","-1.8","3.5","11.1","16.9","18.1","13.5","9.8","0.3","-3.4","-8.8"
"409","21","0.2","0.5","-2.6","3.4","7.8","17.6","17.1","15.9","9.0","0.1","-3.7","4.3"
"410","22","-0.5","-0.3","-3.5","4.9","7.9","16.5","14.9","14.5","6.5","0.6","-5.5","1.5"
"411","23","-0.2","-1.4","-3.1","4.7","9.5","19.5","13.9","12.0","12.5","0.7","-4.7","0.9"
"412","24","0.0","-5.0","0.6","6.8","9.9","16.2","14.1","13.4","8.4","6.2","2.5","-2.8"
"413","25","-6.0","-8.0","-0.6","5.8","11.5","14.0","12.3","12.8","10.4","7.3","3.9","-5.3"
"414","26","-2.4","-9.3","-1.4","7.8","13.7","14.6","15.2","12.9","11.3","9.2","2.6","-6.3"
"415","27","-9.4","-12.0","-1.6","7.2","14.9","10.6","17.6","17.1","7.2","8.8","-0.1","6.1"
"416","28","-1.2","-4.6","-1.6","6.3","13.3","12.0","19.8","14.3","7.6","5.9","0.1","4.6"
"417","29","-0.4","-","-1.7","4.5","4.8","14.9","18.9","13.4","6.4","6.7","-1.2","0.7"
"418","30","-2.2","-","-1.7","5.4","5.0","18.0","16.3","12.3","5.3","6.2","-1.8","4.5"
"419","31","-1.1","-","-5.0","-","5.5","-","16.3","14.8","-","6.2","-","1.5"
"420","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"421","Minimum","-10.0","-18.8","-5.0","-3.9","4.5","5.0","12.3","11.7","5.3","0.1","-5.5","-13.0"
"422","Date","8","16","31","4","1","1","25","16","30","21","22","19"
"423","Maximum","4.7","0.5","0.7","7.8","15.0","19.6","20.3","24.0","15.8","10.9","7.8","6.1"
"424","Date","16","21","8","26","19","9","9","7","1","1","1","27"
"425","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"426","Mean","-2.1","-8.0","-1.9","2.1","9.8","13.3","17.0","17.0","10.0","5.1","0.4","-1.8"
"427","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"428","Deviation","5.1","-0.9","0.4","-0.7","0.4","-0.8","1.8","3.1","0.7","0.4","1.9","3.9"
"429","%","-","-","-","-","-","-","-","-","-","-","-","-"
"430","4780 GARDERMOEN, TAM 1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"432","1","-5.2","-12.3","3.0","-0.2","4.6","11.3","16.3","13.7","11.5","2.3","-1.6","-4.0"
"433","2","-10.1","-15.2","0.6","-0.5","2.2","9.7","17.8","11.9","10.4","1.6","-2.1","-5.7"
"434","3","-5.6","-15.8","-2.4","0.5","5.4","10.6","18.6","9.8","6.8","3.1","0.2","-6.3"
"435","4","-7.8","-12.3","-4.5","-1.0","7.3","12.2","16.9","9.9","8.6","6.4","1.1","-0.8"
"436","5","-5.3","-13.0","-5.1","1.1","7.8","10.2","17.8","12.1","9.2","6.9","1.3","0.1"
"437","6","-9.9","-13.7","-4.8","1.1","6.9","10.4","20.3","13.5","12.2","8.2","2.6","-3.1"
"438","7","-3.7","-13.6","-3.2","1.6","9.1","14.2","21.4","15.7","10.4","9.8","3.2","-0.2"
"439","8","3.6","-10.1","-5.5","0.6","11.0","12.4","16.5","17.6","6.7","7.4","3.6","0.8"
"440","9","0.0","-6.8","-6.4","0.8","12.9","13.6","15.6","18.5","4.2","6.0","2.1","-0.1"
"441","10","-11.4","-0.8","-8.1","5.0","13.1","13.3","18.6","20.1","7.7","4.3","4.2","-1.3"
"442","11","-4.9","-3.1","-6.2","4.2","10.3","13.9","13.5","19.9","7.9","7.5","2.7","-1.9"
"443","12","-7.7","-2.1","-6.9","3.6","8.1","12.2","16.2","19.9","7.7","7.3","1.3","-2.1"
"444","13","-2.8","-3.3","-9.1","1.0","7.7","13.4","19.2","19.4","9.8","1.4","-1.4","-5.3"
"445","14","-5.6","-5.8","-11.0","5.6","8.8","12.8","18.8","18.4","10.2","-1.1","-2.6","-9.5"
"446","15","-17.2","-6.0","-12.0","7.4","10.9","9.7","19.6","18.5","8.8","0.2","-5.7","-9.5"
"447","16","-15.6","-7.3","-10.5","6.8","11.2","17.4","19.0","18.8","7.9","0.3","-3.7","-3.6"
"448","17","-11.1","-8.7","-1.1","8.2","9.6","19.0","19.1","19.4","6.2","0.7","-4.8","-5.3"
"449","18","-10.5","-4.9","-2.6","3.4","11.5","13.0","19.7","20.4","6.8","0.2","-5.8","-6.9"
"450","19","-3.4","-4.8","-3.9","3.9","14.3","12.2","16.1","20.0","11.0","0.7","-5.3","-12.8"
"451","20","0.5","-4.8","-3.2","6.2","14.2","10.4","18.3","17.8","10.6","1.4","-8.2","-15.7"
"452","21","-3.7","-4.6","-3.3","3.3","13.9","15.3","16.6","16.1","5.6","1.9","-0.6","-8.2"
"453","22","-8.2","-2.5","-7.3","5.1","12.9","14.1","16.7","17.7","5.9","3.7","-2.9","-9.5"
"454","23","-9.6","-3.5","-7.0","5.5","12.2","16.0","16.2","18.3","3.9","2.7","-2.4","-16.3"
"455","24","-17.3","0.0","-8.3","6.2","16.7","19.0","15.6","15.9","7.3","4.0","-6.9","-9.8"
"456","25","-4.8","5.5","-3.7","4.6","15.9","19.6","16.7","15.7","7.8","3.0","-5.3","-7.9"
"457","26","-10.4","4.8","-1.6","1.0","11.1","20.8","15.2","16.4","4.5","1.9","-1.9","-14.5"
"458","27","-12.6","1.3","-2.9","0.4","6.3","19.6","13.7","15.3","2.9","0.7","-1.8","-12.3"
"459","28","-10.8","-0.2","6.0","1.5","7.3","17.5","14.6","13.7","5.3","0.3","-1.5","-16.7"
"460","29","-14.4","2.4","3.1","3.8","8.7","17.5","13.2","15.1","3.6","-0.1","2.4","-25.3"
"461","30","-15.6","-","1.6","4.8","8.1","17.7","9.5","15.1","1.0","1.7","-1.2","-15.7"
"462","31","-17.6","-","0.6","-","10.4","-","11.2","11.9","-","1.8","-","-6.4"
"463","Number of","31","29","31","30","31","30","31","31","30","31","30","31"
"464","Minimum","-17.6","-15.8","-12.0","-1.0","2.2","9.7","9.5","9.8","1.0","-1.1","-8.2","-25.3"
"465","Date","31","3","15","4","2","2","30","3","30","14","20","29"
"466","Maximum","3.6","5.5","6.0","8.2","16.7","20.8","21.4","20.4","12.2","9.8","4.2","0.8"
"467","Date","8","25","28","17","24","26","7","18","6","7","10","8"
"468","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"469","Mean","-8.3","-5.6","-4.1","3.2","10.0","14.3","16.7","16.3","7.4","3.1","-1.4","-7.6"
"470","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"471","Deviation","-1.1","1.5","-1.8","0.4","0.6","0.2","1.5","2.4","-1.9","-1.6","0.1","-1.9"
"472","%","-","-","-","-","-","-","-","-","-","-","-","-"
"473","4780 GARDERMOEN, TAM 1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"475","1","-4.2","-10.9","-7.6","-3.8","6.5","10.9","10.2","15.8","12.7","3.2","7.0","-9.8"
"476","2","-0.1","-7.6","-6.1","-1.4","3.8","15.0","12.9","18.0","13.8","4.4","4.0","-5.1"
"477","3","-2.3","-3.3","-5.3","-0.1","2.1","14.9","16.0","16.0","13.0","0.3","3.9","-7.0"
"478","4","-3.0","-4.4","-2.4","-1.1","5.9","12.0","19.2","17.5","9.7","0.3","3.7","-7.5"
"479","5","1.6","-4.2","-2.2","2.0","14.6","8.0","20.8","14.0","11.5","2.6","-0.7","-7.8"
"480","6","-0.9","-6.0","-4.9","-2.1","9.5","7.2","19.2","13.2","9.8","1.3","4.0","-2.8"
"481","7","-3.4","-8.2","-4.5","-4.0","8.6","6.6","19.1","11.8","9.3","-0.4","6.6","-6.2"
"482","8","-7.7","-5.8","0.2","-5.6","5.0","8.2","19.6","13.9","6.4","2.5","5.7","-1.6"
"483","9","-10.9","-9.1","-0.1","-6.9","5.1","10.2","19.4","15.1","5.7","5.2","2.9","-1.6"
"484","10","-8.6","-13.9","1.1","-6.7","4.5","8.0","21.7","15.3","4.7","9.5","2.7","-2.1"
"485","11","-6.6","-16.7","0.2","-3.3","7.9","12.5","19.3","17.4","5.5","6.4","7.4","-2.7"
"486","12","-6.7","-12.7","1.6","-1.2","7.6","14.3","18.7","15.4","6.0","0.8","4.6","-1.6"
"487","13","-5.0","-11.9","1.1","0.0","5.8","16.6","12.4","13.9","6.6","7.2","4.4","0.3"
"488","14","-6.3","-12.1","0.5","1.8","5.5","21.3","8.1","14.8","9.7","4.7","-1.0","-5.1"
"489","15","-3.1","-9.1","0.7","1.8","6.6","22.3","12.0","14.5","7.5","5.5","1.8","-2.9"
"490","16","-2.2","-12.3","0.9","0.0","7.3","16.7","13.5","16.2","7.4","7.4","0.5","-2.1"
"491","17","-5.4","-13.8","1.9","0.8","8.8","19.3","8.6","17.5","5.9","6.4","-2.9","0.7"
"492","18","-7.8","-11.6","2.1","1.8","10.2","16.7","10.6","16.3","8.5","4.4","-6.4","-13.4"
"493","19","-9.2","-6.0","1.6","2.3","11.0","18.9","11.2","9.9","8.8","3.0","-8.3","-9.3"
"494","20","-9.0","-4.6","2.8","3.6","11.4","12.1","13.1","7.9","9.3","5.3","-6.4","-7.7"
"495","21","-8.3","-7.4","0.6","1.7","12.7","14.0","12.8","10.6","8.7","6.5","-4.7","-5.6"
"496","22","-7.0","-10.6","-0.9","6.2","14.6","12.6","11.7","10.8","7.6","7.8","-2.7","-5.4"
"497","23","-11.0","-7.4","-0.9","3.8","15.1","15.9","13.5","10.2","6.8","7.9","-11.6","-2.2"
"498","24","-7.2","-15.5","-1.4","0.8","14.7","17.1","10.5","11.4","6.1","8.1","-3.8","0.2"
"499","25","-4.1","-14.5","2.0","3.1","10.5","15.7","12.2","9.4","6.9","10.6","-2.5","-1.9"
